Équipe,Ligue,Last_5_FT_Goals,Last_5_MT_Goals,Form_Score,Form_Last_5_Str,Prochain_Match,FT Marque_Record,FT Marque_Annee_Record,FT Marque_EnCours,FT CS_Record,FT CS_Annee_Record,FT CS_EnCours,FT No CS_Record,FT No CS_Annee_Record,FT No CS_EnCours,FT -0.5_Record,FT -0.5_Annee_Record,FT -0.5_EnCours,FT +1.5_Record,FT +1.5_Annee_Record,FT +1.5_EnCours,FT -1.5_Record,FT -1.5_Annee_Record,FT -1.5_EnCours,FT +2.5_Record,FT +2.5_Annee_Record,FT +2.5_EnCours,FT -2.5_Record,FT -2.5_Annee_Record,FT -2.5_EnCours,FT +3.5_Record,FT +3.5_Annee_Record,FT +3.5_EnCours,FT -3.5_Record,FT -3.5_Annee_Record,FT -3.5_EnCours,FT Nuls_Record,FT Nuls_Annee_Record,FT Nuls_EnCours,MT +0.5_Record,MT +0.5_Annee_Record,MT +0.5_EnCours,MT -0.5_Record,MT -0.5_Annee_Record,MT -0.5_EnCours,MT +1.5_Record,MT +1.5_Annee_Record,MT +1.5_EnCours,MT -1.5_Record,MT -1.5_Annee_Record,MT -1.5_EnCours
Oxford,Championship,"1, 3, 4, 3, 3","1, 2, 2, 2, 0",-3.4000000000000004,"D, D, N, V, D",N/A,16,2021,1,5,2017,0,22,2011,5,2,2021,0,16,2020,4,4,2019,0,10,2021,4,7,2023,0,3,2025,0,15,2016,2,5,2024,0,14,2011,0,5,2019,1,5,2021,0,11,2019,1
Portsmouth,Championship,"3, 1, 4, 0, 5","1, 0, 1, 0, 4",-4.199999999999999,"D, N, D, D, D",N/A,17,2020,1,6,2021,0,14,2018,1,3,2014,0,12,2019,1,4,2021,0,9,2022,1,8,2022,0,4,2022,1,20,2011,0,5,2019,0,13,2014,1,5,2022,0,5,2024,1,14,2017,0
Preston,Championship,"1, 5, 2, 3, 2","1, 3, 1, 1, 2",11.4,"N, V, V, V, D",N/A,29,2015,4,7,2022,0,15,2010,2,3,2022,0,14,2018,4,8,2022,0,8,2012,0,12,2022,1,5,2012,0,18,2020,3,5,2021,1,16,2019,6,6,2017,0,5,2022,1,14,2016,0
QPR,Championship,"1, 1, 5, 3, 0","1, 1, 2, 0, 0",-1.0000000000000002,"N, D, D, D, V",N/A,31,2021,0,8,2013,1,23,2019,0,2,2024,1,24,2019,0,7,2015,1,7,2015,0,10,2021,1,4,2019,0,21,2017,2,4,2013,1,14,2019,0,11,2015,2,6,2018,0,19,2016,2
Sheffield United,Championship,"4, 5, 4, 4, 0","1, 3, 1, 1, 0",-1.0000000000000002,"N, D, D, D, V",N/A,16,2016,0,8,2014,1,22,2024,0,2,2022,1,15,2011,0,5,2021,1,7,2018,0,11,2024,1,5,2024,0,26,2014,1,3,2019,1,16,2017,0,4,2020,1,5,2024,0,18,2014,3
Sheffield Weds,Championship,"1, 3, 0, 2, 4","1, 2, 0, 1, 3",-2.2,"D, N, N, D, D",N/A,16,2012,2,5,2023,0,18,2013,2,3,2018,0,22,2011,2,4,2020,0,8,2014,1,9,2010,0,5,2014,1,27,2021,0,4,2021,0,16,2011,2,6,2018,0,7,2014,1,13,2019,0
Southampton,Championship,"4, 3, 2, 3, 4","2, 1, 1, 0, 3",7.4,"V, V, D, D, D",N/A,31,2024,2,6,2016,0,21,2023,5,2,2021,0,26,2012,5,4,2023,0,11,2025,2,13,2013,0,6,2012,1,18,2013,0,4,2021,0,16,2022,1,5,2010,0,4,2025,1,15,2013,0
Stoke,Championship,"2, 1, 6, 3, 1","2, 0, 3, 2, 0",10.600000000000001,"D, V, V, V, D",N/A,8,2018,0,6,2019,0,17,2016,1,4,2019,0,12,2016,0,5,2019,1,8,2019,0,12,2019,1,5,2011,0,18,2012,2,5,2012,0,13,2022,0,5,2012,1,4,2020,0,16,2013,1
Swansea,Championship,"1, 3, 2, 3, 5","1, 2, 0, 1, 1",-3.4000000000000004,"D, D, N, V, D",N/A,13,2021,4,6,2010,0,12,2023,5,2,2021,0,20,2017,4,5,2024,0,12,2017,2,9,2020,0,4,2019,1,25,2021,0,4,2022,0,10,2025,2,6,2012,0,5,2025,0,14,2021,3
Watford,Championship,"3, 4, 3, 2, 2","2, 3, 2, 2, 2",6.999999999999999,"N, N, V, D, V",N/A,15,2014,5,4,2022,0,20,2022,2,2,2024,0,22,2013,5,5,2020,0,9,2014,0,8,2021,2,4,2015,0,18,2020,3,4,2024,2,16,2013,5,5,2022,0,5,2025,5,12,2019,0
West Brom,Championship,"3, 1, 0, 1, 3","2, 0, 0, 0, 0",2.599999999999999,"V, D, N, D, D",N/A,17,2019,1,3,2024,0,34,2011,2,2,2024,0,23,2011,1,5,2021,0,8,2021,1,9,2025,0,5,2021,0,25,2022,13,6,2024,0,18,2014,0,4,2025,4,6,2021,0,18,2022,4
