Équipe,Ligue,Prochain_Match,Form_Score,Form_Last_5_Str,Last_5_FT_Goals,FT Marque_Record,FT Marque_Annee_Record,FT Marque_EnCours,FT Marque_Pct,FT CS_Record,FT CS_Annee_Record,FT CS_EnCours,FT CS_Pct,FT No CS_Record,FT No CS_Annee_Record,FT No CS_EnCours,FT No CS_Pct,FT -0.5_Record,FT -0.5_Annee_Record,FT -0.5_EnCours,FT -0.5_Pct,FT +1.5_Record,FT +1.5_Annee_Record,FT +1.5_EnCours,FT +1.5_Pct,FT -1.5_Record,FT -1.5_Annee_Record,FT -1.5_EnCours,FT -1.5_Pct,FT +2.5_Record,FT +2.5_Annee_Record,FT +2.5_EnCours,FT +2.5_Pct,FT -2.5_Record,FT -2.5_Annee_Record,FT -2.5_EnCours,FT -2.5_Pct,FT +3.5_Record,FT +3.5_Annee_Record,FT +3.5_EnCours,FT +3.5_Pct,FT -3.5_Record,FT -3.5_Annee_Record,FT -3.5_EnCours,FT -3.5_Pct,FT Nuls_Record,FT Nuls_Annee_Record,FT Nuls_EnCours,FT Nuls_Pct,MT +0.5_Record,MT +0.5_Annee_Record,MT +0.5_EnCours,MT +0.5_Pct,MT -0.5_Record,MT -0.5_Annee_Record,MT -0.5_EnCours,MT -0.5_Pct,MT +1.5_Record,MT +1.5_Annee_Record,MT +1.5_EnCours,MT +1.5_Pct,MT -1.5_Record,MT -1.5_Annee_Record,MT -1.5_EnCours,MT -1.5_Pct
Wolves,Premier League,Aston Villa (Ext) - 30/11,-8.200000000000001,"D, D, D, D, N","5,3,3,3,3",18,2019,0,72.65625,6,2014,0,27.968749999999996,30,2012,26,72.03125,2,2021,0,6.71875,30,2012,14,76.5625,8,2022,0,23.4375,9,2011,6,50.625,9,2022,0,49.375,4,2014,0,24.21875,17,2016,4,75.78125,3,2019,0,22.5,19,2024,0,69.375,6,2021,3,30.625000000000004,7,2011,0,32.5,12,2022,5,67.5
AZ,Eredivisie,sc Heerenveen (Ext) - 23/11,0.0,Pas assez de matchs,"3,2,5,1,6",12,2025,12,100.0,1,2025,0,25.0,5,2025,1,75.0,0,N/A,0,0.0,7,2025,1,83.33333333333334,1,2025,0,16.666666666666664,5,2025,1,75.0,1,2025,0,25.0,2,2025,1,50.0,3,2025,0,50.0,0,N/A,0,0.0,0,N/A,0,0.0,12,2025,12,100.0,0,N/A,0,0.0,12,2025,12,100.0
Ajax,Eredivisie,FC Groningen (Dom) - 30/11,1.4000000000000001,"D, N, V, D, N","5,2,2,3,3",37,2023,6,90.64885496183206,7,2021,0,40.458015267175576,18,2025,18,59.541984732824424,2,2021,0,3.2442748091603053,33,2025,33,87.59541984732824,3,2016,0,12.404580152671755,13,2017,2,65.45801526717557,7,2011,0,34.541984732824424,8,2019,0,45.99236641221374,10,2015,4,54.007633587786266,6,2023,0,19.84732824427481,22,2024,0,75.57251908396947,4,2017,1,24.427480916030532,5,2024,0,40.64885496183206,8,2025,7,59.35114503816794
Excelsior Rotterdam,Eredivisie,NAC Breda (Dom) - 29/11,0.0,Pas assez de matchs,"3,1,2,4,3",4,2025,2,75.0,1,2025,0,16.666666666666664,4,2025,3,83.33333333333334,0,N/A,0,0.0,3,2025,3,75.0,2,2025,0,25.0,3,2025,2,66.66666666666666,2,2025,0,33.33333333333333,1,2025,0,25.0,7,2025,1,75.0,0,N/A,0,0.0,0,N/A,0,0.0,12,2025,12,100.0,0,N/A,0,0.0,12,2025,12,100.0
FC Groningen,Eredivisie,PEC Zwolle (Dom) - 23/11,0.0,Pas assez de matchs,"3,2,3,2,2",6,2025,0,75.0,3,2025,0,25.0,6,2025,6,75.0,0,N/A,0,0.0,5,2025,5,83.33333333333334,1,2025,0,16.666666666666664,4,2025,0,50.0,3,2025,2,50.0,2,2025,0,25.0,8,2025,8,75.0,0,N/A,0,0.0,0,N/A,0,0.0,12,2025,12,100.0,0,N/A,0,0.0,12,2025,12,100.0
FC Twente,Eredivisie,AZ (Dom) - 30/11,0.0,Pas assez de matchs,"3,6,5,2,0",7,2025,0,66.66666666666666,1,2025,1,8.333333333333332,11,2025,0,91.66666666666666,1,2025,1,8.333333333333332,7,2025,0,75.0,1,2025,1,25.0,6,2025,0,58.333333333333336,2,2025,2,41.66666666666667,3,2025,0,41.66666666666667,4,2025,2,58.333333333333336,0,N/A,0,0.0,0,N/A,0,0.0,12,2025,12,100.0,0,N/A,0,0.0,12,2025,12,100.0
FC Utrecht,Eredivisie,Telstar (Ext) - 23/11,0.0,Pas assez de matchs,"5,4,5,1,3",6,2025,6,83.33333333333334,1,2025,0,25.0,6,2025,1,75.0,0,N/A,0,0.0,4,2025,1,75.0,2,2025,0,25.0,4,2025,1,66.66666666666666,3,2025,0,33.33333333333333,4,2025,0,50.0,3,2025,2,50.0,0,N/A,0,0.0,0,N/A,0,0.0,12,2025,12,100.0,0,N/A,0,0.0,12,2025,12,100.0
FC Volendam,Eredivisie,PSV (Ext) - 30/11,0.0,Pas assez de matchs,"1,4,3,4,3",4,2025,4,83.33333333333334,1,2025,0,8.333333333333332,9,2025,2,91.66666666666666,0,N/A,0,0.0,7,2025,4,91.66666666666666,1,2025,0,8.333333333333332,4,2025,4,75.0,1,2025,0,25.0,2,2025,0,33.33333333333333,5,2025,1,66.66666666666666,0,N/A,0,0.0,0,N/A,0,0.0,12,2025,12,100.0,0,N/A,0,0.0,12,2025,12,100.0
Feyenoord,Eredivisie,Nijmegen (Dom) - 23/11,5.800000000000001,"D, V, D, V, V","5,4,4,3,3",31,2023,24,87.02290076335878,6,2025,0,34.9236641221374,12,2010,6,65.07633587786259,1,2025,0,3.435114503816794,25,2025,10,84.7328244274809,2,2025,0,15.267175572519085,10,2025,10,61.641221374045806,5,2024,0,38.3587786259542,8,2025,0,40.64885496183206,9,2018,2,59.35114503816794,3,2019,0,19.65648854961832,19,2023,0,75.76335877862596,3,2025,1,24.236641221374043,6,2012,0,44.083969465648856,11,2011,3,55.916030534351144
Fortuna Sittard,Eredivisie,Heracles Almelo (Dom) - 29/11,0.0,Pas assez de matchs,"1,1,3,7,2",4,2025,3,83.33333333333334,1,2025,1,25.0,5,2025,0,75.0,0,N/A,0,0.0,5,2025,3,75.0,2,2025,0,25.0,4,2025,0,58.333333333333336,2,2025,1,41.66666666666667,2,2025,0,41.66666666666667,3,2025,1,58.333333333333336,0,N/A,0,0.0,0,N/A,0,0.0,12,2025,12,100.0,0,N/A,0,0.0,12,2025,12,100.0
