Équipe,Ligue,Prochain_Match,Form_Score,Form_Last_5_Str,Last_5_FT_Goals,FT Marque_Record,FT Marque_Annee_Record,FT Marque_EnCours,FT Marque_Pct,FT CS_Record,FT CS_Annee_Record,FT CS_EnCours,FT CS_Pct,FT No CS_Record,FT No CS_Annee_Record,FT No CS_EnCours,FT No CS_Pct,FT -0.5_Record,FT -0.5_Annee_Record,FT -0.5_EnCours,FT -0.5_Pct,FT +1.5_Record,FT +1.5_Annee_Record,FT +1.5_EnCours,FT +1.5_Pct,FT -1.5_Record,FT -1.5_Annee_Record,FT -1.5_EnCours,FT -1.5_Pct,FT +2.5_Record,FT +2.5_Annee_Record,FT +2.5_EnCours,FT +2.5_Pct,FT -2.5_Record,FT -2.5_Annee_Record,FT -2.5_EnCours,FT -2.5_Pct,FT +3.5_Record,FT +3.5_Annee_Record,FT +3.5_EnCours,FT +3.5_Pct,FT -3.5_Record,FT -3.5_Annee_Record,FT -3.5_EnCours,FT -3.5_Pct,FT Nuls_Record,FT Nuls_Annee_Record,FT Nuls_EnCours,FT Nuls_Pct,MT +0.5_Record,MT +0.5_Annee_Record,MT +0.5_EnCours,MT +0.5_Pct,MT -0.5_Record,MT -0.5_Annee_Record,MT -0.5_EnCours,MT -0.5_Pct,MT +1.5_Record,MT +1.5_Annee_Record,MT +1.5_EnCours,MT +1.5_Pct,MT -1.5_Record,MT -1.5_Annee_Record,MT -1.5_EnCours,MT -1.5_Pct
Amiens,Ligue 2,Pas de match prévu,-3.8,"D, D, D, V, V","1,3,4,5,3",10,2022,5,64.73684210526316,4,2024,0,29.736842105263158,13,2016,4,70.26315789473684,2,2024,0,11.842105263157894,18,2016,4,67.63157894736842,4,2024,0,32.36842105263158,7,2017,4,42.368421052631575,10,2024,0,57.631578947368425,3,2019,0,20.0,25,2018,1,80.0,4,2024,0,30.789473684210527,11,2019,0,65.26315789473685,5,2019,1,34.73684210526316,4,2011,0,26.842105263157894,14,2020,1,73.15789473684211
Annecy,Ligue 2,Pas de match prévu,1.0000000000000004,"D, N, D, V, V","1,4,3,2,1",15,2024,0,69.35483870967742,4,2022,0,33.87096774193548,10,2023,3,66.12903225806451,1,2025,0,11.29032258064516,17,2023,0,70.96774193548387,3,2025,1,29.03225806451613,5,2023,0,46.774193548387096,6,2025,2,53.2258064516129,2,2025,0,26.61290322580645,8,2024,3,73.38709677419355,3,2023,0,28.225806451612907,10,2023,0,67.74193548387096,3,2024,1,32.25806451612903,5,2023,0,29.838709677419356,13,2023,7,70.16129032258065
Bastia,Ligue 2,Pas de match prévu,0.20000000000000062,"D, V, D, D, N","0,1,2,1,4",14,2012,2,65.80976863753213,5,2016,0,30.848329048843187,11,2012,1,69.1516709511568,3,2024,0,11.053984575835475,16,2014,1,70.17994858611826,4,2022,0,29.82005141388175,8,2012,1,42.159383033419026,12,2016,0,57.84061696658098,4,2013,1,21.59383033419023,26,2016,0,78.40616966580977,4,2024,0,27.76349614395887,17,2012,1,63.239074550128535,6,2013,0,36.760925449871465,6,2014,1,28.79177377892031,14,2023,0,71.2082262210797
Boulogne,Ligue 2,Pas de match prévu,-1.0,"N, N, D, D, N","4,1,8,2,2",6,2012,3,63.33333333333333,4,2011,0,27.77777777777778,10,2011,5,72.22222222222221,2,2011,0,12.222222222222221,7,2011,3,65.55555555555556,4,2011,0,34.44444444444444,5,2012,0,34.44444444444444,16,2010,2,65.55555555555556,3,2011,0,17.77777777777778,24,2011,2,82.22222222222221,7,2010,2,34.44444444444444,11,2011,0,62.22222222222222,4,2011,1,37.77777777777778,2,2011,0,23.333333333333332,13,2010,2,76.66666666666667
Clermont,Ligue 2,Pas de match prévu,5.3999999999999995,"V, D, N, V, D","1,1,2,1,3",16,2016,1,71.02473498233216,6,2015,0,30.03533568904594,12,2024,3,69.96466431095406,3,2013,0,9.89399293286219,14,2010,1,69.43462897526503,6,2015,0,30.565371024734983,6,2016,1,42.226148409893995,10,2014,0,57.773851590106005,3,2022,0,21.73144876325088,21,2014,5,78.26855123674912,5,2015,0,32.50883392226148,16,2014,0,64.48763250883393,5,2017,2,35.51236749116608,3,2025,0,27.03180212014134,14,2013,2,72.96819787985865
Dunkerque,Ligue 2,Pas de match prévu,13.399999999999999,"N, V, V, V, D","1,3,3,3,2",13,2024,4,64.81481481481481,3,2025,0,26.543209876543212,8,2021,2,73.4567901234568,2,2021,0,6.790123456790123,8,2024,4,66.66666666666666,3,2023,0,33.33333333333333,5,2022,0,40.74074074074074,7,2025,1,59.25925925925925,3,2025,0,20.98765432098765,24,2022,6,79.01234567901234,4,2025,1,23.456790123456788,11,2022,0,60.49382716049383,6,2022,1,39.50617283950617,4,2025,0,25.925925925925924,13,2024,1,74.07407407407408
Grenoble,Ligue 2,Pas de match prévu,11.4,"V, V, N, D, N","2,1,0,5,3",9,2025,2,64.14473684210526,6,2023,0,31.57894736842105,11,2025,2,68.42105263157895,4,2023,0,11.513157894736842,15,2024,2,65.13157894736842,4,2023,0,34.868421052631575,6,2023,2,38.48684210526316,12,2023,0,61.51315789473685,3,2025,0,20.065789473684212,28,2023,1,79.93421052631578,4,2023,0,29.276315789473685,9,2023,2,59.210526315789465,6,2023,0,40.78947368421053,6,2023,2,23.684210526315788,14,2021,0,76.31578947368422
Guingamp,Ligue 2,Pas de match prévu,7.4,"N, V, N, D, N","4,1,0,2,4",13,2022,2,70.11278195488721,7,2021,0,30.451127819548873,13,2022,1,69.54887218045113,2,2024,0,9.022556390977442,19,2018,2,69.73684210526315,5,2019,0,30.263157894736842,14,2018,1,46.616541353383454,11,2014,0,53.383458646616546,6,2018,1,25.93984962406015,19,2021,0,74.06015037593986,4,2021,1,27.25563909774436,15,2021,2,63.1578947368421,7,2022,0,36.84210526315789,5,2016,2,28.7593984962406,16,2022,0,71.2406015037594
Laval,Ligue 2,Pas de match prévu,4.6,"V, D, N, D, N","0,1,2,2,2",11,2024,1,65.29562982005142,3,2023,1,26.735218508997427,26,2013,0,73.26478149100257,3,2014,0,12.082262210796916,14,2024,3,68.38046272493573,5,2023,0,31.619537275064268,10,2012,0,42.41645244215938,7,2025,7,57.58354755784062,3,2011,0,20.565552699228792,18,2010,12,79.43444730077121,6,2016,0,33.41902313624679,13,2011,3,61.696658097686374,6,2014,0,38.303341902313626,6,2023,2,28.53470437017995,16,2016,0,71.46529562982005
Le Mans,Ligue 2,Pas de match prévu,13.4,"N, V, N, V, V","5,1,2,1,0",13,2010,0,68.58974358974359,5,2011,2,29.48717948717949,14,2011,0,70.51282051282051,3,2011,1,7.6923076923076925,13,2019,0,66.02564102564102,5,2011,2,33.97435897435898,5,2019,0,43.58974358974359,7,2012,4,56.41025641025641,3,2011,0,22.435897435897438,10,2011,4,77.56410256410257,4,2011,1,26.282051282051285,10,2012,0,60.89743589743589,5,2011,2,39.1025641025641,3,2011,0,25.64102564102564,13,2011,4,74.35897435897436
Montpellier,Ligue 2,Reims (Ext) - 24/11,17.400000000000002,"V, V, N, V, V","1,5,2,2,1",19,2023,5,71.02473498233216,4,2012,2,27.56183745583039,36,2025,0,72.43816254416961,2,2010,0,7.420494699646643,24,2024,0,74.02826855123675,6,2015,1,25.97173144876325,8,2024,0,46.64310954063604,12,2014,3,53.35689045936396,5,2023,0,28.4452296819788,18,2017,3,71.5547703180212,5,2018,0,26.325088339222614,16,2022,0,69.25795053003534,5,2019,2,30.742049469964666,5,2019,0,33.92226148409894,17,2024,2,66.07773851590106
Nancy,Ligue 2,Pas de match prévu,-3.0000000000000004,"D, D, V, D, D","1,5,2,1,2",14,2013,0,66.30434782608695,4,2011,0,25.217391304347824,21,2013,2,74.78260869565217,2,2019,0,8.26086956521739,12,2018,1,69.78260869565217,6,2018,0,30.217391304347824,6,2022,0,43.26086956521739,7,2019,3,56.739130434782616,3,2022,0,21.73913043478261,20,2020,3,78.26086956521739,6,2012,0,29.565217391304348,12,2014,1,65.0,5,2020,0,35.0,3,2021,1,27.391304347826086,25,2020,0,72.60869565217392
Pau FC,Ligue 2,Pas de match prévu,-1.0,"N, N, D, D, N","2,3,6,2,4",19,2024,2,70.5,3,2021,0,24.0,14,2022,7,76.0,1,2025,0,4.5,12,2025,7,73.0,4,2023,0,27.0,8,2024,1,47.5,10,2023,0,52.5,3,2025,1,27.0,12,2022,0,73.0,3,2024,2,28.999999999999996,13,2023,4,71.0,10,2022,0,28.999999999999996,5,2021,1,33.0,19,2022,0,67.0
Red Star,Ligue 2,Pas de match prévu,9.4,"N, V, D, V, V","1,1,3,3,0",15,2025,0,65.4320987654321,4,2025,1,30.246913580246915,11,2024,0,69.75308641975309,2,2016,1,10.493827160493826,8,2019,0,66.66666666666666,3,2025,1,33.33333333333333,5,2017,0,41.9753086419753,7,2015,1,58.0246913580247,3,2017,0,22.839506172839506,11,2015,7,77.1604938271605,5,2025,1,27.77777777777778,17,2024,0,66.0493827160494,6,2016,1,33.95061728395062,2,2025,0,22.839506172839506,31,2016,1,77.1604938271605
Reims,Ligue 2,Montpellier (Dom) - 24/11,10.2,"V, D, V, N, N","4,0,8,3,4",14,2011,3,71.02473498233216,6,2023,0,29.328621908127207,16,2016,3,70.6713780918728,2,2024,0,10.247349823321555,14,2016,3,69.6113074204947,5,2015,0,30.3886925795053,7,2015,3,43.99293286219081,9,2017,0,56.00706713780919,4,2015,1,24.204946996466433,18,2013,0,75.79505300353357,6,2013,0,30.742049469964666,19,2023,3,67.6678445229682,6,2019,0,32.332155477031804,5,2018,3,27.915194346289752,41,2013,0,72.08480565371025
Rodez,Ligue 2,Pas de match prévu,-3.4000000000000004,"D, D, V, D, N","4,3,3,2,3",13,2024,1,72.24669603524228,4,2022,0,22.90748898678414,18,2021,9,77.09251101321586,2,2022,0,7.048458149779736,13,2025,8,73.568281938326,3,2025,0,26.431718061674008,6,2024,1,43.17180616740088,7,2022,0,56.82819383259912,5,2024,0,22.026431718061673,21,2020,4,77.97356828193833,5,2021,0,35.68281938325991,13,2024,1,63.436123348017624,4,2023,0,36.56387665198238,4,2024,1,28.193832599118945,17,2020,0,71.80616740088107
St Etienne,Ligue 2,Pas de match prévu,8.2,"V, D, V, D, D","5,4,6,3,5",17,2023,3,74.91228070175438,6,2023,0,32.80701754385965,15,2022,2,67.19298245614034,2,2020,0,6.842105263157896,22,2022,7,73.68421052631578,4,2024,0,26.31578947368421,8,2013,5,46.49122807017544,7,2023,0,53.50877192982456,5,2022,1,27.017543859649123,19,2015,0,72.98245614035088,4,2010,0,26.666666666666668,13,2022,7,67.19298245614034,5,2016,0,32.80701754385965,5,2022,3,29.82456140350877,18,2016,0,70.17543859649122
Troyes,Ligue 2,Pas de match prévu,4.6000000000000005,"D, N, V, N, V","1,0,4,2,5",20,2021,3,71.2280701754386,7,2015,0,30.350877192982455,24,2023,3,69.64912280701753,2,2017,0,7.192982456140351,14,2021,3,69.47368421052632,4,2010,0,30.526315789473685,5,2025,1,45.26315789473684,8,2019,0,54.736842105263165,4,2025,1,23.50877192982456,20,2012,0,76.49122807017544,4,2013,0,23.684210526315788,14,2022,3,68.24561403508773,6,2018,0,31.75438596491228,4,2017,1,25.789473684210527,17,2015,0,74.21052631578947
AEK,Super League (Grèce),Aris (Dom) - 23/11,11.0,"V, V, D, D, V","5,2,2,1,1",28,2024,2,77.54629629629629,10,2018,2,46.52777777777778,9,2022,0,53.47222222222222,2,2023,0,8.101851851851851,14,2024,0,71.06481481481481,4,2020,2,28.935185185185187,8,2024,0,46.06481481481482,13,2012,4,53.93518518518518,4,2024,0,23.14814814814815,22,2016,4,76.85185185185185,2,2023,0,22.22222222222222,11,2023,0,67.82407407407408,6,2012,2,32.175925925925924,5,2021,0,30.09259259259259,10,2017,4,69.9074074074074
Aris,Super League (Grèce),AEK (Ext) - 23/11,0.9999999999999996,"N, D, N, N, D","3,2,2,3,0",16,2024,0,68.61702127659575,4,2025,1,36.17021276595745,11,2020,0,63.829787234042556,3,2021,1,10.638297872340425,12,2019,0,67.02127659574468,5,2021,1,32.97872340425532,7,2023,0,39.8936170212766,14,2011,1,60.1063829787234,3,2020,0,20.212765957446805,24,2022,10,79.7872340425532,3,2021,1,26.595744680851062,10,2023,0,64.09574468085107,5,2021,2,35.90425531914894,5,2023,0,27.127659574468083,15,2021,7,72.87234042553192
Asteras Tripolis,Super League (Grèce),Pas de match prévu,8.200000000000001,"N, V, D, N, D","3,4,2,3,0",11,2020,0,66.59836065573771,5,2022,2,34.83606557377049,11,2024,0,65.1639344262295,2,2022,1,11.065573770491802,13,2013,0,66.80327868852459,6,2012,1,33.19672131147541,7,2024,0,39.75409836065574,7,2024,1,60.245901639344254,2,2025,0,17.827868852459016,26,2011,3,82.17213114754098,4,2022,1,28.278688524590162,12,2013,0,63.114754098360656,6,2018,1,36.885245901639344,5,2023,0,26.84426229508197,23,2016,5,73.15573770491804
Atromitos,Super League (Grèce),Pas de match prévu,-1.4000000000000004,"D, D, V, N, D","1,4,4,3,1",14,2014,0,68.24742268041237,8,2017,0,32.16494845360825,13,2024,9,67.83505154639175,3,2013,0,9.690721649484537,18,2022,0,66.39175257731958,5,2020,1,33.608247422680414,3,2025,0,37.11340206185567,10,2023,1,62.88659793814433,2,2025,0,17.938144329896907,26,2023,2,82.06185567010309,4,2017,0,31.546391752577318,16,2022,1,63.298969072164944,5,2012,0,36.70103092783505,5,2013,0,23.711340206185564,30,2016,2,76.28865979381443
Kifisia,Super League (Grèce),PAOK (Ext) - 23/11,1.4,"D, V, N, N, D","5,4,2,3,4",6,2025,6,67.44186046511628,1,2024,0,6.976744186046512,16,2025,16,93.02325581395348,1,2024,0,6.976744186046512,8,2024,6,83.72093023255815,1,2025,0,16.27906976744186,5,2024,2,65.11627906976744,3,2023,0,34.883720930232556,3,2025,1,39.53488372093023,6,2023,0,60.46511627906976,4,2024,0,32.55813953488372,10,2024,1,74.4186046511628,2,2023,0,25.581395348837212,2,2024,0,34.883720930232556,6,2023,2,65.11627906976744
Larisa,Super League (Grèce),OFI Crete (Dom) - 24/11,-3.0000000000000004,"D, D, V, D, D","7,2,2,2,3",11,2017,0,57.6530612244898,3,2020,0,27.040816326530614,16,2011,2,72.95918367346938,3,2020,0,13.26530612244898,9,2025,9,65.81632653061224,4,2021,0,34.183673469387756,5,2020,1,38.775510204081634,7,2021,0,61.224489795918366,3,2016,0,17.857142857142858,14,2019,4,82.14285714285714,4,2025,0,33.16326530612245,10,2019,6,64.79591836734694,4,2020,0,35.204081632653065,5,2011,0,29.591836734693878,15,2020,2,70.40816326530613
Levadeiakos,Super League (Grèce),Volos NFC (Ext) - 24/11,15.4,"V, V, N, N, V","6,4,2,2,7",8,2023,7,59.50920245398773,6,2014,0,26.993865030674847,15,2024,1,73.00613496932516,3,2014,0,9.509202453987731,15,2014,7,69.93865030674846,7,2019,0,30.061349693251532,5,2024,1,40.79754601226993,13,2019,0,59.20245398773007,4,2025,1,19.018404907975462,21,2013,0,80.98159509202453,5,2024,0,26.07361963190184,10,2013,7,61.963190184049076,6,2016,0,38.036809815950924,4,2024,1,25.4601226993865,16,2018,0,74.5398773006135
OFI Crete,Super League (Grèce),Larisa (Ext) - 24/11,-6.6000000000000005,"D, D, D, D, V","3,6,4,3,1",9,2019,0,64.85355648535564,4,2025,0,24.686192468619247,18,2024,4,75.31380753138075,2,2024,0,10.460251046025103,12,2024,0,76.98744769874477,3,2018,1,23.01255230125523,7,2025,0,52.30125523012552,5,2023,1,47.69874476987448,5,2024,0,27.19665271966527,15,2021,2,72.80334728033473,5,2021,0,28.870292887029287,11,2020,0,70.7112970711297,3,2022,1,29.288702928870293,5,2024,0,34.72803347280335,13,2019,2,65.27196652719665
Olympiakos,Super League (Grèce),Pas de match prévu,17.4,"V, V, V, V, D","3,2,2,3,4",33,2025,33,89.17835671342685,7,2023,0,52.30460921843687,8,2022,2,47.69539078156313,2,2022,0,5.01002004008016,24,2015,10,78.75751503006012,3,2024,0,21.24248496993988,9,2011,2,54.90981963927856,7,2018,0,45.09018036072144,5,2019,1,30.460921843687377,15,2019,0,69.53907815631263,2,2024,0,15.030060120240481,14,2019,1,69.33867735470942,5,2025,0,30.66132264529058,5,2016,0,34.46893787575151,10,2015,3,65.53106212424849
PAOK,Super League (Grèce),Kifisia (Dom) - 23/11,13.4,"D, V, V, V, V","3,2,3,5,3",56,2020,6,80.60000000000001,7,2018,0,43.0,10,2015,1,56.99999999999999,2,2020,0,8.200000000000001,27,2019,6,74.6,5,2020,0,25.4,11,2024,3,53.400000000000006,7,2022,0,46.6,3,2024,0,25.8,26,2022,1,74.2,3,2022,0,20.4,15,2022,2,70.8,4,2020,0,29.2,4,2025,2,30.599999999999998,15,2020,0,69.39999999999999
Panathinaikos,Super League (Grèce),Panserraikos (Ext) - 23/11,8.6,"V, D, V, N, V","1,2,2,1,3",21,2012,1,76.50602409638554,8,2023,0,43.373493975903614,11,2025,2,56.62650602409639,2,2023,0,8.433734939759036,22,2024,1,67.26907630522089,6,2017,0,32.730923694779115,8,2023,1,40.562248995983936,9,2019,0,59.43775100401606,4,2011,0,22.48995983935743,28,2023,7,77.51004016064257,3,2021,0,24.29718875502008,12,2014,4,64.45783132530121,7,2023,0,35.54216867469879,5,2023,1,26.506024096385545,21,2012,0,73.49397590361446
Panetolikos,Super League (Grèce),Pas de match prévu,9.4,"V, D, N, V, D","6,6,2,1,3",12,2015,1,60.046728971962615,4,2022,1,29.906542056074763,11,2022,0,70.09345794392523,3,2013,0,11.682242990654206,11,2019,1,66.58878504672897,5,2022,0,33.41121495327103,8,2021,1,41.35514018691589,12,2014,0,58.64485981308412,3,2017,0,19.859813084112147,41,2025,3,80.14018691588785,3,2020,0,26.168224299065418,13,2023,1,64.25233644859813,6,2014,0,35.74766355140187,6,2021,0,24.53271028037383,16,2021,2,75.46728971962617
Panserraikos,Super League (Grèce),Panathinaikos (Dom) - 23/11,-7.4,"D, D, D, D, V","3,3,2,5,7",11,2024,1,61.111111111111114,2,2024,0,16.666666666666664,13,2025,13,83.33333333333334,1,2024,0,3.7037037037037033,10,2025,8,77.77777777777779,3,2025,0,22.22222222222222,5,2024,2,49.074074074074076,6,2011,0,50.92592592592593,2,2025,2,26.851851851851855,8,2025,0,73.14814814814815,3,2023,0,24.074074074074073,10,2010,7,76.85185185185185,3,2025,0,23.14814814814815,3,2025,3,37.03703703703704,6,2025,0,62.96296296296296
Volos NFC,Super League (Grèce),Levadeiakos (Dom) - 24/11,14.200000000000001,"V, V, D, V, V","7,3,3,1,1",9,2022,2,63.38028169014085,2,2025,2,24.88262910798122,19,2023,0,75.11737089201877,1,2025,0,8.92018779342723,18,2023,0,71.83098591549296,3,2024,2,28.169014084507044,7,2021,0,49.76525821596244,5,2025,2,50.23474178403756,3,2022,0,25.821596244131456,12,2025,4,74.17840375586854,3,2024,0,24.88262910798122,9,2022,2,66.19718309859155,3,2025,0,33.80281690140845,2,2025,0,30.046948356807512,13,2025,4,69.95305164319248
Avellino,Serie B,Pas de match prévu,1.4000000000000004,"D, V, N, D, D","2,4,2,7,3",22,2016,0,72.52252252252252,4,2015,0,26.576576576576578,16,2017,5,73.42342342342343,2,2014,0,9.00900900900901,16,2017,5,73.42342342342343,3,2016,0,26.576576576576578,7,2015,2,42.34234234234234,9,2014,0,57.65765765765766,3,2017,0,20.27027027027027,18,2015,1,79.72972972972973,3,2017,0,31.53153153153153,13,2015,3,67.11711711711712,5,2014,0,32.88288288288289,4,2016,3,28.37837837837838,13,2015,0,71.62162162162163
Bari,Serie B,Pas de match prévu,10.600000000000001,"N, V, V, D, V","3,4,1,1,2",11,2024,7,69.58424507658644,4,2023,0,30.63457330415755,15,2013,1,69.36542669584244,2,2024,0,10.50328227571116,11,2024,1,67.6148796498906,4,2023,0,32.38512035010941,6,2017,0,40.48140043763676,10,2017,3,59.51859956236324,5,2012,0,19.037199124726477,24,2011,3,80.96280087527352,6,2024,1,32.38512035010941,11,2014,1,64.11378555798687,4,2022,0,35.886214442013134,4,2025,1,24.070021881838073,14,2013,0,75.92997811816193
Carrarese,Serie B,Pas de match prévu,-0.1999999999999999,"N, D, D, V, N","4,5,3,2,2",4,2025,1,70.0,3,2024,0,34.0,11,2025,5,66.0,2,2024,0,14.000000000000002,6,2025,6,70.0,3,2024,0,30.0,4,2025,0,46.0,5,2024,2,54.0,3,2025,0,26.0,8,2025,3,74.0,2,2025,1,36.0,7,2025,0,62.0,3,2024,1,38.0,3,2025,0,30.0,10,2025,3,70.0
Catanzaro,Serie B,Pas de match prévu,7.4,"D, V, V, V, D","1,1,4,3,1",7,2024,0,72.72727272727273,3,2024,0,29.545454545454547,10,2024,3,70.45454545454545,2,2024,0,12.5,10,2025,0,72.72727272727273,2,2025,1,27.27272727272727,6,2025,0,50.0,5,2025,1,50.0,3,2025,0,30.681818181818183,11,2023,2,69.31818181818183,7,2025,0,39.77272727272727,17,2024,0,73.86363636363636,2,2025,2,26.136363636363637,4,2024,0,39.77272727272727,7,2025,5,60.22727272727273
Cesena,Serie B,Monza (Ext) - 23/11,13.4,"V, D, V, V, V","3,1,3,1,3",13,2025,1,68.71657754010695,4,2014,1,27.540106951871657,23,2015,0,72.45989304812835,2,2013,0,10.427807486631016,16,2015,1,68.98395721925134,4,2013,0,31.016042780748666,9,2017,1,42.780748663101605,12,2011,0,57.21925133689839,5,2015,0,22.994652406417114,17,2016,6,77.00534759358288,5,2016,0,31.818181818181817,12,2017,1,62.834224598930476,6,2018,0,37.16577540106952,4,2012,1,30.213903743315505,13,2014,0,69.78609625668449
Empoli,Serie B,Pas de match prévu,4.199999999999999,"V, D, N, D, N","2,3,2,1,1",28,2018,1,70.7641196013289,4,2021,1,25.581395348837212,20,2019,0,74.4186046511628,2,2016,0,9.136212624584719,25,2012,0,74.08637873754152,5,2012,2,25.91362126245847,11,2012,0,46.84385382059801,9,2016,3,53.156146179402,4,2022,0,27.408637873754156,22,2016,7,72.59136212624585,5,2021,0,31.561461794019934,24,2012,0,69.26910299003323,5,2016,3,30.730897009966778,6,2013,0,31.727574750830566,16,2024,3,68.27242524916943
Frosinone,Serie B,Pas de match prévu,11.8,"N, V, V, N, D","1,2,4,2,4",15,2018,4,69.83471074380165,6,2020,0,29.338842975206614,15,2024,1,70.66115702479338,2,2023,0,9.710743801652892,15,2018,4,72.93388429752066,5,2017,0,27.066115702479337,6,2024,1,45.867768595041326,10,2020,0,54.132231404958674,5,2023,1,25.826446280991732,13,2025,0,74.17355371900827,4,2024,1,30.165289256198346,15,2022,6,66.94214876033058,5,2021,0,33.057851239669425,6,2023,0,30.57851239669421,17,2017,5,69.42148760330579
Juve Stabia,Serie B,Sampdoria (Ext) - 24/11,7.3999999999999995,"V, D, N, V, D","3,2,4,3,1",12,2012,1,70.4225352112676,4,2012,1,18.779342723004692,39,2019,0,81.2206572769953,2,2025,0,7.511737089201878,14,2019,0,77.93427230046949,3,2024,1,22.065727699530516,9,2020,0,53.051643192488264,5,2025,1,46.948356807511736,3,2020,0,25.352112676056336,14,2025,2,74.64788732394366,4,2025,0,30.985915492957744,14,2019,8,68.54460093896714,4,2025,0,31.455399061032864,4,2014,0,30.046948356807512,11,2025,2,69.95305164319248
Mantova,Serie B,Spezia (Dom) - 23/11,9.8,"V, V, D, D, N","2,1,4,1,1",8,2025,3,70.0,2,2025,2,22.0,15,2025,0,78.0,1,2025,0,8.0,11,2025,0,68.0,4,2024,2,32.0,6,2025,0,50.0,6,2024,2,50.0,3,2024,0,34.0,7,2025,2,66.0,2,2025,0,32.0,11,2025,0,64.0,6,2024,2,36.0,3,2025,0,32.0,7,2025,6,68.0
Modena,Serie B,Sudtirol (Dom) - 23/11,8.6,"N, V, D, V, N","2,3,1,3,4",14,2023,2,72.75132275132276,4,2015,0,28.57142857142857,18,2011,1,71.42857142857143,2,2023,0,9.523809523809524,15,2024,2,71.42857142857143,5,2015,0,28.57142857142857,8,2025,2,41.7989417989418,12,2014,0,58.201058201058196,6,2014,1,21.693121693121693,28,2016,0,78.3068783068783,5,2024,1,35.44973544973545,8,2025,5,65.87301587301587,6,2023,0,34.12698412698413,5,2024,0,29.365079365079367,12,2011,3,70.63492063492063
Monza,Serie B,Cesena (Dom) - 23/11,22.2,"V, V, V, V, V","1,4,3,1,2",17,2022,7,72.27722772277228,4,2021,3,31.18811881188119,16,2025,0,68.8118811881188,2,2024,0,6.435643564356436,10,2025,1,73.76237623762376,3,2024,0,26.237623762376238,7,2025,0,42.07920792079208,5,2024,2,57.920792079207914,3,2022,0,21.287128712871286,11,2025,3,78.71287128712872,3,2023,0,27.722772277227726,9,2023,1,64.35643564356435,4,2021,0,35.64356435643564,3,2024,0,30.198019801980198,9,2023,3,69.80198019801979
Padova,Serie B,Pas de match prévu,0.20000000000000018,"D, N, N, N, V","1,4,2,2,1",12,2010,0,73.14814814814815,3,2010,0,24.537037037037038,14,2018,4,75.46296296296296,2,2019,0,9.25925925925926,13,2012,0,71.75925925925925,4,2011,1,28.240740740740737,7,2010,0,48.148148148148145,9,2019,3,51.85185185185185,4,2014,0,26.38888888888889,18,2019,3,73.61111111111111,3,2025,0,34.72222222222222,14,2010,0,70.83333333333334,4,2013,1,29.166666666666668,4,2014,0,32.870370370370374,8,2018,3,67.12962962962963
Palermo,Serie B,Pas de match prévu,1.4000000000000001,"D, V, D, D, N","2,1,3,5,1",23,2025,0,72.36286919831224,4,2013,0,26.371308016877638,17,2017,1,73.62869198312237,2,2015,0,8.649789029535865,15,2024,0,74.26160337552743,4,2015,1,25.738396624472575,9,2011,0,50.63291139240506,7,2024,1,49.36708860759494,4,2023,0,27.42616033755274,17,2014,1,72.57383966244726,5,2023,0,30.168776371308013,15,2015,6,72.15189873417721,4,2014,0,27.848101265822784,6,2023,0,32.48945147679325,15,2012,14,67.51054852320675
Pescara,Serie B,Pas de match prévu,-4.2,"D, D, N, N, N","4,2,2,5,2",29,2012,0,72.34513274336283,3,2018,0,24.336283185840706,19,2017,8,75.66371681415929,2,2019,0,5.9734513274336285,22,2017,14,77.87610619469027,4,2020,0,22.123893805309734,7,2025,0,51.54867256637168,6,2021,1,48.451327433628315,6,2017,0,30.752212389380528,14,2014,1,69.24778761061947,4,2019,0,25.88495575221239,15,2017,3,68.14159292035397,6,2016,0,31.858407079646017,6,2018,0,32.743362831858406,15,2018,2,67.2566371681416
Reggiana,Serie B,Pas de match prévu,6.6,"N, D, V, D, V","4,4,1,7,0",11,2024,0,65.07936507936508,3,2024,1,24.6031746031746,19,2025,0,75.39682539682539,2,2024,1,10.317460317460316,11,2025,0,70.63492063492063,3,2024,1,29.365079365079367,7,2025,0,46.82539682539682,9,2024,1,53.17460317460318,2,2025,0,22.22222222222222,14,2021,1,77.77777777777779,3,2025,1,30.952380952380953,8,2025,0,68.25396825396825,3,2024,1,31.746031746031743,4,2025,0,31.746031746031743,9,2024,1,68.25396825396825
Sampdoria,Serie B,Juve Stabia (Dom) - 24/11,-5.0,"D, D, N, N, D","4,2,2,1,4",13,2024,1,69.96587030716724,4,2012,0,24.2320819112628,22,2023,6,75.76791808873719,2,2012,0,8.19112627986348,31,2020,1,75.25597269624573,4,2010,0,24.744027303754265,10,2021,1,48.97610921501707,9,2012,0,51.02389078498294,5,2017,1,26.791808873720136,26,2012,0,73.20819112627987,4,2025,0,27.13310580204778,13,2020,1,67.06484641638225,5,2015,0,32.93515358361775,5,2022,1,31.058020477815703,19,2012,0,68.94197952218431
